item_desc,item_type,notes
"Wine Basket Premium",Live,"Includes 6 bottles"
"Spa Day Package",Live,
"Golf Outing for Four",Live,"Includes cart and lunch"
"Art Print Collection","Not Live","Limited edition prints"
"Weekend Getaway",Live,
"Kitchen Appliance Set","Not Live","Blender and mixer"
"Concert Tickets",Live,"Front row seats"
"Jewelry Box Antique","Not Live",
"Dinner for Two",Live,"Fine dining experience"
"Book Collection","Not Live","Signed first editions"
"Fitness Membership",Live,
"Home Decor Bundle","Not Live","Vases and candles"
"Photography Session",Live,"Family portrait package"
"Garden Tool Set","Not Live",
"Cooking Class",Live,"Italian cuisine"
"Electronics Bundle","Not Live",
"Theater Tickets",Live,"Broadway show"
"Handmade Quilt","Not Live","Queen size"
"Wine Tasting Tour",Live,
"Craft Beer Selection","Not Live","Local breweries"
"Yoga Retreat",Live,"Weekend wellness"
"Vintage Watch","Not Live",
"Sports Memorabilia",Live,"Signed baseball"
"Gourmet Food Basket","Not Live",
"Sailing Lesson",Live,"Half day on the bay"
"Pottery Set","Not Live",
